Account,Balance
0xf8cc4a0502145824a9b27a23dd9211c9c84dcfec,10735.919273
0xb4dc972e4d600e9f5eee60f12917800a7881f8d0,4894.566180
0xb0d40736a10a8163fd268ccf161d8e818fa4b9bf,4888.728638
0x39817afa2a10b137022b0de5c76cac9ccb48aa56,4888.471192
0x9c338c74e098c470643eb573d67d4f4f78df49f9,4888.389081
0xbaef59f66a1c7c329656db1b284e5210caf63bab,4887.713484
0x1497ac9632c415ce18c270f8feb672e31dc8ecae,4885.959863
0x57cbced8c99b05b1855e955ddce82c38581fd41f,4880.358607
0xa81faca1a89fe2268b5e91084caec82c9387fd0e,4254.327266
0xae8453d0d4c581dec82dab0ff1c5048690bd6c12,3918.152296
0xc9eb506a805ad7500de07cbfa453e70ab133f665,3903.748429
0xdd37e2858ca292df9193fc0aa5fdaa56679c4113,2941.759926
0xd58ad00e0de3ebc4806a6ba2e305822fdee73256,2437.144927
0xbf30d0dc6783dffd5bf30fb373997bbf09f01d82,2434.816685
0x1f15e42e521eceaa8eb12c7e1b68926833935578,2407.951395
0x42795a86c8652c163a9fcc90352ce1ed2c28c1ed,2399.104748
0x50e2bd62451bbb192ace9c6af7598a394fce0230,1955.294518
0x1fc444e3e4c60e864bfbaa25953b42fa73695cf8,1951.515410
0x3aae13d18c6a9dbcfedb22080cfb41f538d14bdf,1951.020909
0xbcadbf02eb0ea77ef8aa29b330206bd030696c0c,1934.744814
0x892607a94dddc38a6bf477a105e2684ec87542bc,1781.263321
0xa66b4f0f9f25ba7a78f574fc063ca1cb6daefa09,1757.455436
0x1f79d23914e1a65fdfb74c0a4f0c61d7bee3a187,1335.941025
0x1afb7072252ac7649ce775ba61d2cbeb232006f3,1218.072277
0xa4fdb635ecfc939e811e29dddf2b224e27b1a58c,1141.890514
0x2ca4ad605ca875e2725356e53b43071c1e857cdc,1088.110988
0x70339d8d131a04b9e806fd363f02699b5689c5de,1073.586709
0xa408b48fa4f0e150930cbc9d51b19afe5e817f0e,1060.110174
0x2b6eb25944ecf41dc21a8342aea476cc6e643d82,1044.071324
0x1d12b894b259c3341d283da83b9c77f5ed5ba163,1025.070944
0x51845fad9e2afbc9f6f07cfd60fdba45df1e3c2d,1000.757104
0x7acc7a5a4a9d470c47c32c4e449e03b06986bedb,986.587577
0x391985fdf0f28de092027d52763621221684cadf,986.311879
0xa8eac5592228f1108fd4a488bd13d2201268cc3f,984.447437
0xf6934d7f21e914436847703716c34de0a4de326c,975.669611
0x575ab1015bed4440de474794cac6b72874d687b1,973.027588
0x3123cbca13e9e491d116d2eae7d03fbea8280c08,900.672364
0x626086a73b6b822904968e56280fa8f2c7d62fdb,880.250131
0x30df16cd7d612c5b25beb0331486b127a42ac371,878.374248
0x8a50561ce5d3a2c4da1ee03b6702a0c8136ced25,731.978534
0x75b7705c55415aa125d1ec2a8ae6d75ed1f441df,719.920870
0xc1e42bc35cbf918afab06f7e0becedf22aa17df1,712.514574
0x3605e7a4f17f8bbf78144d42e8333a45381f1fb2,712.513766
0xb9e91a505f90ad83d2e45a332aa90e89e6446af0,600.000000
0x5b478fd6d7c99f93afd3579c634af8a304e20580,585.585702
0x95d89279ddc169d0510ab4cf79f1dcfae4dcd09f,538.776403
0xb9832ea435b317b500f14e4e2289336cded530ea,536.283263
0x26fdc242eccc144971e558ff458a4ec21b75d4e8,505.383603
0x1469038edce33e3efb5d689586f408b6512f8b26,505.091832
0xff77db3d6b0f9a8de41fded7acbfb02467f6ae41,504.129914
0x8bdbe8f549aabd8ee310e7b2e9e3ab39efd7af07,500.220781
0x6dae7a0e5d0f7d75db2b29c0281daa3d0fd18e38,500.220273
0x58f156911657063dfd85161214d7d8be2169dea7,500.219695
0x3c818e82cc6258c124aafb3f53ed3313b8db214d,500.219643
0x03712ffdf19dd5daa028b7dc3b5c33a7747b91c3,500.203501
0x2366e71f9f9f8857a69dccac62bb28385727405d,496.232479
0x4c337daaeba452e9462486fb5317499dc00f0013,493.548622
0x1fc550e98ad3021e32c47a84019f77a0792c60b7,493.365145
0x495f4ec9d0faa09d8b79a2837b1265fe3b12cc58,490.420189
0x3ba9c0fac7cee76689a31343e4b074c711a04a55,490.245685
0xc83c3b46d8e622b9c7b540872c6af8636ddc1d17,489.904480
0x4de0699883b305a6a8443066c2c4a252382b198a,489.393562
0x9dccf3419eb667944b50945a13ef23c864d2a8c0,488.953389
0xef8c31c5221a6f374b5be61462644c845ef8a397,488.953388
0xff3e828f2952169f4f16bb4fd41ddcda7a389bae,488.953384
0x51384bca09528d151dce3d769480b267b263ed7d,488.953384
0xe08c709ba513c892dc1628b8c1c99a32e0ab58f0,488.953367
0xe87baaca70d1deaab88aaf0b6d6dfaa69b5bca44,488.301248
0x6ff60e1cf749ae639fbe124ddbc2178c4c988203,488.189985
0xb0299238fd27e9a365c0f37e9fbe31ffc07eb57b,487.990059
0xcf61b6de27aa0a5fef3979a16e955a251ec784d5,487.983980
0xa34230bdf3bfed3bc01af74389ff9c27c0bc7d94,487.983421
0x81a4cb704f043fc310671ce13f0c54425c2f4191,487.897821
0x01cc647103f4ce8a8f7985df8101d24aab029bf3,486.028954
0xd18c96b6cd70987189b95e02b27d98e681bba100,390.503920
0xb9453ac9d15962b6537bda06f6435f4ec03588ea,390.503193
0x572bd06d76ba5d168d82fc97c8d913494496e109,390.390489
0x758d4c3a4d8d6ce42fc00afcdff685ba94a9f802,360.691021
0xfcec0c1ed8d733327446ce22fa261a3ee487943f,331.210103
0x4e45d820c0480cd88a57e8657f6eba2d2cf552cc,302.544135
0xba23cb053f2f3c2ff6ae07d0b06d3a60d20baf5d,295.408898
0x4091deb0238f69353b6cd47a6027c1af3d2b63b1,295.163083
0x88888868f030e70509b4b5765bf1c1e383ee0bff,295.115706
0xe3f688465b003d7d561be60798f84e9235f3e761,292.877719
0xff297bcbcf0240d55f6abcb5f4274cdda92aa175,292.796067
0x96409069b740744a084f3d7cd95ec36c72b6e6fc,292.795286
0xc276dba467da94fb4286b1b6be28081c0b9e7a65,244.601762
0x49a14faee4dcee2b4f42694efab6ea7f41adbf10,244.364972
0xc1ad8a49ec4d601cc43cc110dd3ab26c7d37edcd,224.477226
0x80a2527a444c4f2b57a247191cdf1308c9eb210d,221.675883
0x482565764f48ddf39b969dc1952154739d83c430,204.956746
0xadbc075b22653044e8bac440c5a1d78a958a4c33,197.633081
0xa7ae530d3cf06b8245bb38d865a94f3c82d3d041,196.988335
0x54a93eb9578b180aa2298c315f8ba05bc28831b5,196.745977
0xd8263b8b277c7df352f1851923125a07a6982540,196.724226
0x5b9c84b5a19546c12f843acd50536e3b1dd37ffa,196.610402
0xf0ea2a1820fd771dca26892b9a852ca5609a2e3a,196.268481
0x02dc9d3fd85f37364b093f30bb1d094b533762ca,196.171268
0x7f5e2128edc3c46d908bb67292a491439810da6f,196.119925
0x40143f2500bcfd22fbcc2a200e336ef2cf4df1dd,195.976962
0x5e464b4766fb32ac5f4bf74249d2681d6e00fbad,195.198564
0x19e3281e9854a29a7729a2634d8da4febd2ef4ea,195.195295
0xc5ad47102dab5d52f6365c9b3848334ff032ffbf,195.195276
0x6f3772cc8f40af534e14a95093b8e4d3165ea833,195.195276
0xae370cdcda808d2b513d7b935ae27abe25d4b188,195.195166
0x5fd89cb8241d6b131ef6ec8c0ccc3f7c074194c5,195.194986
0x1b69525716f8d42dd320c9db69a5f35c46a8769b,195.194972
0xe4538c45f23d1b57adc99516f44305e7139fdabd,195.194360
0xd9d9cd05082bbf078e7f54d90a8b636d1d853811,195.193907
0x59907e47870a425d5ec5495fd79e144d6cf332ce,195.193446
0x4b2cab349149ad53d4cea045d90b52ce4cf517cb,194.280454
0x09a7a3e93e6dd1fef6661dd0e60a261454f54298,194.222773
0x4076b08217ab9184528bc9f34356e1b15d2878ea,192.785813
0xaa89db3f37642d4093dc71ed2c411d6fd6291da7,187.725096
0x938a49e24fd7a26149dd537019078d8a8f919290,182.627286
0x60745d5ef46ed0f53f9b55262c6a3f85ea08be35,169.316737
0x8cb9121c55c99fe2abfd620a2510752d88f2c7f4,168.390815
0xa48130687f304fa383e247faea2f9ee3d2a03d31,166.109133
0x352f1e56d5a7a01b0e94203bfc27cd70db3e4e1c,162.030153
0xbe3e6fdbb7fc4f85a39641101dbd978d505f5516,155.914914
0xffd2df7ba9a04672933748dc86ce71f131ff4d50,149.403248
0x064134f9469bc8bfd5fb7e7750161e8862e0a795,148.545371
0xc47be909ae9a5951264c07c4b44cbef988969dbb,146.397694
0x93f85e8b6d8ee1758257edab8f530c2f04687d64,146.254965
0x84718534128a1ac4184be68de997199f78b9eb5a,145.463240
0x7c6915b02cef07e86b5ac1bb3e5f40f228929ecd,145.421987
0x68ba59c5351a1dd77d49cdf9d5dc6be14d1206e9,144.949276
0x56d011edaba8093b8c28dc24348726dc8e6d539b,136.658190
0x7f5fc8f17abdaa232bd59fa0b14f945edd8c13a9,132.359151
0x7f8ef05ec9ccb79555cdca024460989aed72ec1d,131.757979
0x9c79ec067e6b61a5f9dc70007a8197984dec542c,129.543062
0xd7b26011e6eb5857a6251da1f77e9f3d8aac4489,125.392270
0x4b7ec805ae47e8696c212ee1e259a291316440d4,123.746729
0x8e42b194eb3ccc858ccaaf2fb8bb31ba092475db,121.998378
0x33ce1310e0e95bdb74fe3ba755231b0fe1849105,121.995542
0x9a704bf7fac89ed4548b9e0ca3f9d3be15c5421f,120.443215
0x5b9b4d5af59590029a2f48dcdf4a3338a10013f3,120.235392
